"unitbox","unit","box","Band","Capture","base","stress","dex","year","NumFled","Clutch_Size","Attempt_Number","Site","Nest","Nest_Experiment","Age","Experiment"
"2_42",2,42,272107756,"1",1.9,9.5,9.7,2017,0,6,1,"Unit_2","42","Color","SY","Color"
"2_46",2,46,272106704,"1",5.8,17.9,20,2017,4,5,1,"Unit_2","46","Color","SY","Color"
"2_49",2,49,272107745,"1",4.8,39.5,10.2,2017,2,5,1,"Unit_2","49","Color","SY","Color"
"2_5",2,5,240150273,"1",2.1,13.8,1.8,2017,1,2,1,"Unit_2","5","Color","ASY","Color"
"2_54",2,54,272107016,"1",0.5,17.8,10.4,2017,6,7,1,"Unit_2","54","Color","ASY","Color"
"2_56",2,56,272107758,"1",2.7,28.1,18,2017,0,5,1,"Unit_2","56","Color","SY","Color"
"2_64",2,64,88004754,"1",6.7,29.1,14.1,2017,3,4,1,"Unit_2","64","Color","SY","Color"
"2_68",2,68,272107754,"1",3,34.1,14.4,2017,1,5,1,"Unit_2","68","Color","SY","Color"
"2_75",2,75,272107039,"1",2.6,9.9,39.3,2017,4,4,1,"Unit_2","75","Color","SY","Color"
"2_77",2,77,263113714,"1",4.7,21.7,10.3,2017,5,6,1,"Unit_2","77","Color","ASY","Color"
"2_86",2,86,272106602,"1",1.3,19.3,8.3,2017,0,6,1,"Unit_2","86","Color","SY","Color"
"2_9",2,9,212110252,"1",1.1,63.6,18.8,2017,0,6,1,"Unit_2","9","Color","SY","Color"
"2_95",2,95,272107752,"1",3.3,31.2,10.7,2017,3,7,1,"Unit_2","95","Color","ASY","Color"
"2_97",2,97,272106707,"1",4.1,17.9,7.8,2017,0,5,1,"Unit_2","97","Color","SY","Color"
"1_101",1,101,272106601,"3",NA,NA,NA,2017,5,5,1,"tt_1","101","Color","SY","Color"
"1_103",1,103,262125490,"3",5.3,NA,NA,2017,5,5,1,"Unit_1","103","Color","ASY","Color"
"1_106",1,106,272107750,"3",4.1,NA,NA,2017,6,7,1,"Unit_1","106","Color","ASY","Color"
"1_11",1,11,263114035,"3",NA,NA,NA,2017,0,4,1,"Unit_1","11","Color","SY","Color"
"1_114",1,114,272106709,"3",NA,NA,NA,2017,2,5,1,"Unit_1","114","Color","SY","Color"
"1_12",1,12,185146883,"3",NA,NA,NA,2017,0,7,1,"Unit_1","12","Color","ASY","Color"
"1_121",1,121,272106711,"3",10,NA,NA,2017,4,5,1,"Unit_1","121","Color","SY","Color"
"1_131",1,131,232146950,"3",3.1,NA,NA,2017,0,5,1,"Unit_1","131","Color","ASY","Color"
"1_134",1,134,185146896,"3",0,NA,NA,2017,4,4,1,"Unit_1","134","Color","ASY","Color"
