unitbox	unit	box	fband	Capture	base	stress	dex	year	NumFled
2_27	2	27	240150355	3	1.7			2017	0
2_29	2	29	272107739	3	1.4			2017	5
2_34	2	34	259122567	3	2.5			2017	5
2_37	2	37	263113706	3	23.8			2017	0
2_38	2	38	240150270	3				2017	0
2_42	2	42	272107756	3				2017	0
2_46	2	46	272106704	3	0.5			2017	4
2_49	2	49	272107745	3	0.7			2017	2
2_5	2	5	240150273	3	1.6			2017	1
2_54	2	54	272107016	3	0.2			2017	6
2_56	2	56	272107758	3	4.5			2017	0
2_64	2	64	88004754	3	2.5			2017	3
2_68	2	68	272107754	3				2017	1
2_75	2	75	272107039	3	2.2			2017	4
2_77	2	77	263113714	3	2.2			2017	5
2_86	2	86	272106602	3	3.4			2017	0
2_9	2	9	212110252	3				2017	0
2_95	2	95	272107752	3	1.9			2017	3
2_97	2	97	272106707	3	1.7			2017	0
1_12	1	12	272107794	1	1.3	20.0	12.5	2018	1
1_32	1	32	272107802	1	4.9	15.2	8.9	2018	4
1_48	1	48	272107814	1	2.2	20.5	13.5	2018	3
1_75	1	75	272107699	1	0.7	33.2	19.8	2018	5
1_81	1	81	232146953	1	0.5	39.2	16.8	2018	4
1_85	1	85	272106711	1	0.7	15.7	6.6	2018	2
2_2	2	2	272107807	1	0.5	1.7	12.9	2018	4
2_6	2	6	272106901	1	5.5	45.6	15.0	2018	0
2_8	2	8	272106902	1	1.8	14.0	11.7	2018	4
2_12	2	12	272107748	1	13.0	7.1	8.7	2018	6
2_18	2	18	272106817	1	0.2	12.8	10.4	2018	5
2_22	2	22	272106635	1	2.5	35.7	7.4	2018	5
2_34	2	34	272107805	1	0.9	46.6	14.8	2018	4
2_37	2	37	272106795	1	2.2	30.0	9.7	2018	6
2_38	2	38	272107806	1	2.6	47.1	13.4	2018	5
2_42	2	42	272107698	1	1.0	29.8	13.1	2018	2
2_54	2	54	272106728	1	0.3	14.5	6.0	2018	1
2_64	2	64	272106823	1	0.5	21.2	7.7	2018	4
2_67	2	67	272107749	1	9.1	40.9	17.4	2018	0
2_68	2	68	272106733	1	0.5	41.6	16.6	2018	3
2_77	2	77	272107786	1	2.9	17.4	12.9	2018	0
2_82	2	82	272107596	1	2.1	24.1	10.1	2018	0
2_95	2	95	272107161	1	0.2	19.8	7.0	2018	0
2_102	2	102	272107811	1	0.7	11.2	6.7	2018	4
2_103	2	103	272106908	1	0.5	17.7	15.8	2018	4
2_112	2	112	272106903	1	3.0	10.4	12.4	2018	3
2_122	2	122	263113706	1	3.4	51.1	16.2	2018	0
2_124	2	124	272108041	1	2.5	24.9	10.7	2018	2
4_18	4	18	272107812	1	1.4	37.8	14.8	2018	4
4_61	4	61	240134898	1	3.3	29.5	14.9	2018	4
4_63	4	63	272107764	1	1.4	18.0	14.4	2018	4
4_71	4	71	272107779	1	0.4	17.9	13.0	2018	5
4_72	4	72	272107298	1	0.7	28.4	19.3	2018	6
4_80	4	80	272107599	1	1.0	60.3	31.5	2018	5
4_93	4	93	156181156	1	1.4	18.6	11.3	2018	5
4_101	4	101	272107258	1	0.7	21.2	13.6	2018	2
1_17	1	17	272107153	1	1.7	31.4	18.0	2018	0
1_62	1	62	272106819	1	2.4	22.8	9.3	2018	0
1_69	1	69	272107808	1	0.7	27.4	12.4	2018	0
1_77	1	77	262125490	1		15.5	9.9	2018	0
1_91	1	91	272107809	1	0.1	40.5	18.7	2018	4
1_104	1	104	272107790	1	0.8	21.7	9.5	2018	0
1_121	1	121	272107750	1	0.3	21.3	9.5	2018	2
1_123	1	123	272106696	1	2.9	25.5	14.3	2018	0
2_9	2	9	272107787	1	1.8	25.0	7.9	2018	0
2_14	2	14	272106905	1	7.1	55.9	21.0	2018	2
2_21	2	21	88004754	1	3.4	13.6	20.1	2018	5
2_27	2	27	272107297	1	0.3	16.9	7.8	2018	1
2_30	2	30	272106613	1	1.9	14.5	9.1	2018	2
2_45	2	45	272107810	1	0.2	20.2	13.9	2018	0
2_51	2	51	272107801	1	5.3	39.3	11.8	2018	0
2_71	2	71	272106822	1	0.7	22.7	7.3	2018	0
2_80	2	80	272106904	1	1.0	35.4	21.3	2018	1
2_86	2	86	272106907	1	0.5	29.7	12.7	2018	4
2_109	2	109	272107739	1	0.1	18.4	9.2	2018	4
2_114	2	114	272107217	1	0.8	13.8	11.2	2018	1
2_117	2	117	272106913	1	0.2	14.2	13.4	2018	5
2_121	2	121	272107112	1	0.1	18.7	9.5	2018	3
4_62	4	62	272107219	1	3.7	78.5	20.4	2018	2
4_76	4	76	272106708	1	2.7	39.7	11.4	2018	0
4_90	4	90	272107261	1	0.3	16.3	20.9	2018	0
2_105	2	105	272107016	1	0.1	31.4	16.8	2018	0
2_96	2	96	272107803	1	1.2	47.2	21.1	2018	0
2_92	2	92	272106912	1	1.4	30.9	13.6	2018	0
2_49	2	49	272106906	1	1.2	24.7	9.1	2018	0
2_32	2	32	272107804	1	0.7	31.8	13.4	2018	0
1_12	1	12	272107794	2	1.5			2018	1
1_32	1	32	272107802	2	3.5			2018	4
1_48	1	48	272107814	2	2.8			2018	3
1_75	1	75	272107699	2	1.3			2018	5
1_81	1	81	232146953	2	3.2			2018	4
1_85	1	85	272106711	2	4.7			2018	2
2_2	2	2	272107807	2	4.8			2018	4
2_6	2	6	272106901	2	0.5			2018	0
2_8	2	8	272106902	2	1.2			2018	4
2_12	2	12	272107748	2	0.7			2018	6
2_18	2	18	272106817	2	2.4			2018	5
2_22	2	22	272106635	2	1.3			2018	5
2_34	2	34	272107805	2	1.7			2018	4
2_37	2	37	272106795	2	2.9			2018	6
2_38	2	38	272107806	2	0.2			2018	5
2_42	2	42	272107698	2	2.0			2018	2
2_54	2	54	272106728	2	1.8			2018	1
2_64	2	64	272106823	2	1.3			2018	4
2_67	2	67	272107749	2	0.4			2018	0
2_68	2	68	272106733	2	0.9			2018	3
2_77	2	77	272107786	2	1.7			2018	0
2_82	2	82	272107596	2	4.4			2018	0
2_95	2	95	272107161	2	0.5			2018	0
2_102	2	102	272107811	2	2.9			2018	4
2_103	2	103	272106908	2	0.3			2018	4
2_112	2	112	272106903	2	7.5			2018	3
2_122	2	122	263113706	2	0.5			2018	0
2_124	2	124	272108041	2	2.4			2018	2
4_18	4	18	272107812	2	14.4			2018	4
4_61	4	61	240134898	2	4.1			2018	4
4_63	4	63	272107764	2				2018	4
4_71	4	71	272107779	2	1.8			2018	5
4_72	4	72	272107298	2	0.0			2018	6
4_80	4	80	272107599	2	4.7			2018	5
4_93	4	93	156181156	2	5.1			2018	5
4_101	4	101	272107258	2	3.2			2018	2
1_17	1	17	272107153	2	2.5			2018	0
1_62	1	62	272106819	2	1.9			2018	0
1_69	1	69	272107808	2				2018	0
1_77	1	77	262125490	2				2018	0
1_91	1	91	272107809	2	2.2			2018	4
1_104	1	104	272107790	2				2018	0
1_121	1	121	272107750	2	0.3			2018	2
1_123	1	123	272106696	2	2.3			2018	0
2_9	2	9	272107787	2	1.7			2018	0
2_14	2	14	272106905	2	0.0			2018	2
2_21	2	21	88004754	2	4.7			2018	5
2_27	2	27	272107297	2	0.2			2018	1
2_30	2	30	272106613	2	0.8			2018	2
2_45	2	45	272107810	2	1.1			2018	0
2_51	2	51	272107801	2	0.9			2018	0
2_71	2	71	272106822	2				2018	0
2_80	2	80	272106904	2	1.9			2018	1
2_86	2	86	272106907	2	1.3			2018	4
2_109	2	109	272107739	2	0.5			2018	4
2_114	2	114	272107217	2	4.1			2018	1
2_117	2	117	272106913	2	0.0			2018	5
2_121	2	121	272107112	2	0.7			2018	3
4_62	4	62	272107219	2	6.1			2018	2
4_76	4	76	272106708	2				2018	0
4_90	4	90	272107261	2	4.1			2018	0
2_105	2	105	272107016	2	0.6			2018	0
2_96	2	96	272107803	2				2018	0
2_92	2	92	272106912	2				2018	0
2_49	2	49	272106906	2				2018	0
2_32	2	32	272107804	2	4.5			2018	0
1_12	1	12	272107794	3	2.6	12.9	10.6	2018	1
1_32	1	32	272107802	3	1.7	26.3	18.3	2018	4
1_48	1	48	272107814	3	0.6	20.0	10.8	2018	3
1_75	1	75	272107699	3	1.5	28.7	16.8	2018	5
1_81	1	81	232146953	3	0.5	34.2	25.2	2018	4
1_85	1	85	272106711	3	0.7	12.6	7.0	2018	2
2_2	2	2	272107807	3	0.5	1.7	2.8	2018	4
2_6	2	6	272106901	3	7.9	19.2	17.8	2018	0
2_8	2	8	272106902	3	1.2	19.7	6.6	2018	4
2_12	2	12	272107748	3	1.8	14.5	9.5	2018	6
2_18	2	18	272106817	3	1.6	31.2	12.2	2018	5
2_22	2	22	272106635	3	5.8	46.4	9.3	2018	5
2_34	2	34	272107805	3	0.6	49.0	25.3	2018	4
2_37	2	37	272106795	3	7.2	55.1	20.5	2018	6
2_38	2	38	272107806	3	1.5	43.7	22.0	2018	5
2_42	2	42	272107698	3	1.4	31.0	12.7	2018	2
2_54	2	54	272106728	3	0.4	16.6	6.6	2018	1
2_64	2	64	272106823	3	3.3	9.4	6.9	2018	4
2_67	2	67	272107749	3	0.5	21.2	5.2	2018	0
2_68	2	68	272106733	3	4.4	40.9	14.9	2018	3
2_77	2	77	272107786	3	2.5	21.9	18.0	2018	0
2_82	2	82	272107596	3	3.1	23.3	12.0	2018	0
2_95	2	95	272107161	3	10.8	15.9	6.2	2018	0
2_102	2	102	272107811	3	3.0	34.3	12.7	2018	4
2_103	2	103	272106908	3	2.0	21.4	14.3	2018	4
2_112	2	112	272106903	3	1.1	36.2	13.0	2018	3
2_122	2	122	263113706	3	1.0	8.5	8.9	2018	0
2_124	2	124	272108041	3	1.9	19.1	6.9	2018	2
4_18	4	18	272107812	3	2.4	19.6	10.9	2018	4
4_61	4	61	240134898	3	6.1	45.0	13.2	2018	4
4_63	4	63	272107764	3	5.4	47.8	10.6	2018	4
